City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,Đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",100.0,58.0,580000.0
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Phố Hàm Nghi,"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",160.0,45.0,281250.0
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Ngõ 6 Trần Hữu Dực,"Đường Trần Hữu Dực, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",50.0,10.0,200000.0
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Phố Hàm Nghi,"Đường Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",160.0,28.0,175000.0
Hà Nội,Quận Nam Từ Liêm,Phường Cầu Diễn,Ngõ 6 Trần Hữu Dực,"Đường Trần Hữu Dực, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",50.0,10.0,200000.0
Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,Phố Bà Triệu,"Phố Bà Triệu, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",35.0,25.0,714285.7142857143
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Phố Trần Thái Tông,"Phố Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",172.0,68.0,395348.83720930235
Hà Nam,Phủ Lý,Phường Liêm Chính,Đường Lê Duẩn,"Đường Lê Duẩn, Phường Liêm Chính, Thành phố Phủ Lý, Hà Nam",88.0,20.0,227272.72727272726
Hà Nội,Quận Đống Đa,Phường Láng Hạ,Đường Láng Hạ,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",110.0,100.0,909090.9090909091
Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,,"Đường Cầu Giấy, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",110.0,200.0,1818181.8181818181
Hà Nội,Quận Đống Đa,Phường Nam Đồng,,"Phố Chùa Bộc, Phường Nam Đồng, Quận Đống Đa, Hà Nội",80.0,70.0,875000.0
Hà Nội,Huyện Thanh Trì,Thị Trấn Văn Điển,Đường Ngọc Hồi,"Đường Ngọc Hồi, Thị Trấn Văn Điển, Huyện Thanh Trì, Hà Nội",40.0,3.0,75000.0
Hà Nội,Quận Đống Đa,Phường Láng Hạ,Đường Láng Hạ,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",140.0,200.0,1428571.4285714286
Khánh Hòa,Nha Trang,Xã Vĩnh Thái,Hẻm 51 Đường Số 5,"Đường 19/5, Xã Vĩnh Hiệp, Thành phố Nha Trang, Khánh Hòa",90.0,13.0,144444.44444444444
Hưng Yên,Huyện Văn Giang,Xã Nghĩa Trụ,,"Xã Nghĩa Trụ, Huyện Văn Giang, Hưng Yên",98.0,30.0,306122.44897959183
Hồ Chí Minh,Thủ Đức,Phường Thảo Điền,Đường Số 66,"Đường Số 66, Phường Thảo Điền, Thành phố Thủ Đức, Hồ Chí Minh",105.0,200.0,1904761.9047619049
Hà Nội,Quận Long Biên,Phường Phúc Đồng,Cầu Vượt Sài Đồng,"Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội",80.0,10.0,125000.0
