City,District,Ward,area_value,price_value_trieu,price_per_m2_final
Hồ Chí Minh,Phú Nhuận,Phường 15,180.0,75.0,416666.6666666667
Hồ Chí Minh,Tân Phú,Phú Trung,320.0,70.0,218750.0
Hồ Chí Minh,Tân Phú,Tân Thành,288.0,59.0,204861.11111111112
Hồ Chí Minh,Quận 4,Phường 6,100.0,75.0,750000.0
Hồ Chí Minh,Bình Thạnh,Phường 12,140.0,110.0,785714.2857142857
Hồ Chí Minh,Quận 12,Thới An,920.0,170.0,184782.60869565216
Hồ Chí Minh,Tân Phú,Tân Thành,180.0,55.0,305555.5555555556
Hồ Chí Minh,Tân Bình,Phường 7,250.0,85.0,340000.0
Hồ Chí Minh,Tân Bình,Phường 8,170.0,150.0,882352.9411764706
Hồ Chí Minh,Quận 10,Phường 15,350.0,270.0,771428.5714285715
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa,240.0,35.0,145833.33333333334
Hồ Chí Minh,Tân Bình,Phường 13,240.0,280.0,1166666.6666666667
Hồ Chí Minh,Tân Bình,Phường 7,300.0,55.0,183333.3333333333
Hồ Chí Minh,Tân Phú,Hiệp Tân,160.0,50.0,312500.0
Hồ Chí Minh,Bình Thạnh,Phường 28,1.05,190.0,180952380.95238096
Hồ Chí Minh,Tân Phú,Tân Quý,220.0,150.0,681818.1818181818
Hồ Chí Minh,Bình Tân,Bình Trị Đông B,180.0,55.0,305555.5555555556
Hồ Chí Minh,Quận 6,Phường 11,600.0,65.0,108333.33333333331
Hồ Chí Minh,Tân Bình,Phường 12,300.0,135.0,450000.0
Hồ Chí Minh,Bình Thạnh,Phường 25,130.0,42.0,323076.92307692306
Hồ Chí Minh,Quận 12,Hiệp Thành,640.0,170.0,265625.0
Hồ Chí Minh,Phú Nhuận,Phường 9,190.0,90.0,473684.2105263158
Hồ Chí Minh,Bình Tân,Bình Trị Đông A,385.0,85.0,220779.2207792208
Hồ Chí Minh,Gò Vấp,Phường 10,100.0,79.0,790000.0
Hồ Chí Minh,Tân Bình,Phường 10,150.0,60.0,400000.0
Hồ Chí Minh,Tân Bình,Phường 13,300.0,180.0,600000.0
Hồ Chí Minh,Bình Tân,Bình Trị Đông B,230.0,160.0,695652.1739130435
Hồ Chí Minh,Tân Bình,Phường 4,400.0,60.0,150000.0
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa A,315.0,85.0,269841.2698412698
Hồ Chí Minh,Tân Phú,Hiệp Tân,450.0,39.0,86666.66666666667
Hồ Chí Minh,Gò Vấp,Phường 17,800.0,145.0,181250.0
Hồ Chí Minh,Tân Bình,Phường 4,100.0,50.0,500000.0
Hồ Chí Minh,Tân Phú,Tây Thạnh,240.0,73.0,304166.6666666667
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,420.0,75.0,178571.42857142858
Hồ Chí Minh,Quận 10,Phường 15,350.0,195.0,557142.8571428572
Hồ Chí Minh,Gò Vấp,Phường 16,187.0,120.0,641711.229946524
Hồ Chí Minh,Tân Phú,Tân Thành,110.0,45.0,409090.9090909091
Hồ Chí Minh,Quận 12,Đông Hưng Thuận,5.0,930.0,186000000.0
Hải Phòng,Hồng Bàng,Hùng Vương,40.0,10.0,250000.0
Hải Phòng,An Dương,An Đồng,200.0,12.0,60000.0
Hà Nội,Cầu Giấy,Trung Hòa,110.0,90.0,818181.8181818182
Đà Nẵng,Hải Châu,Hòa Thuận Tây,96.0,22.0,229166.66666666663
Hà Nội,Hoàng Mai,Đại Kim,70.0,15.0,214285.7142857143
Hà Nội,Đống Đa,Thổ Quan,100.0,50.0,500000.0
Hà Nội,Thanh Xuân,Nhân Chính,70.0,55.0,785714.2857142857
Hà Nội,Hai Bà Trưng,Nguyễn Du,250.0,100.0,400000.0
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,80.0,80.0,1000000.0
Hà Nội,Hoàn Kiếm,Lý Thái Tổ,100.0,99.0,990000.0
Hà Nội,Ba Đình,Trúc Bạch,150.0,40.0,266666.6666666667
Hà Nội,Ba Đình,Quán Thánh,150.0,140.0,933333.3333333334
Hà Nội,Cầu Giấy,Trung Hòa,90.0,80.0,888888.8888888889
Hà Nội,Hai Bà Trưng,Nguyễn Du,100.0,75.0,750000.0
Hà Nội,Đống Đa,Nam Đồng,35.0,16.0,457142.8571428572
Bà Rịa Vũng Tàu,Vũng Tàu,Phường 8,300.0,50.0,166666.66666666666
Hà Nội,Hai Bà Trưng,Bách Khoa,90.0,60.0,666666.6666666666
Hà Nội,Hà Đông,Mộ Lao,160.0,105.0,656250.0
Hà Nội,Đống Đa,Trung Liệt,100.0,35.0,350000.0
Hà Nội,Đống Đa,Phương Mai,70.0,30.0,428571.4285714286
Hà Nội,Cầu Giấy,Nghĩa Đô,80.0,35.0,437500.0
Hà Nội,Đống Đa,Trung Liệt,120.0,69.0,575000.0
Hà Nội,Đống Đa,Láng Thượng,70.0,40.0,571428.5714285715
Bình Định,Quy Nhơn,Nguyễn Văn Cừ,45.0,6.5,144444.44444444444
Bình Định,Quy Nhơn,Hải Cảng,60.0,8.000000000000002,133333.33333333334
Hà Nội,Tây Hồ,Thụy Khuê,150.0,100.0,666666.6666666666
Hà Nội,Hai Bà Trưng,Bách Khoa,105.0,70.0,666666.6666666666
Hà Nội,Tây Hồ,Xuân La,170.0,60.0,352941.17647058825
Hà Nội,Ba Đình,Cống Vị,400.0,100.0,250000.0
Hà Nội,Ba Đình,Cống Vị,70.0,60.0,857142.8571428572
Hà Nội,Đống Đa,Kim Liên,70.0,30.0,428571.4285714286
Hà Nội,Hà Đông,Hà Cầu,80.0,50.0,625000.0
Hà Nội,Hai Bà Trưng,Lê Đại Hành,80.0,50.0,625000.0
